VEHICLE	Vk0tMDAwMQ==	Qk1X	WE0gTGFiZWw=	SUV	RENTED	520.0	
VEHICLE	Vk0tMDAwMg==	Qk1X	WE0gNTBl	HYBRID_CAR	RENTED	430.0	
VEHICLE	Vk0tMDAwMw==	Qk1X	WDcgTTYwaQ==	SUV	AVAILABLE	390.0	
VEHICLE	Vk0tMDAwNA==	Qk1X	WDYgTSBDb21wZXRpdGlvbg==	SUV	RENTED	470.0	
VEHICLE	Vk0tMDAwNQ==	Qk1X	WDYgTTYwaQ==	SUV	RENTED	360.0	
VEHICLE	Vk0tMDAwNg==	Qk1X	WDUgTSBDb21wZXRpdGlvbg==	SUV	MAINTENANCE	440.0	
VEHICLE	Vk0tMDAwNw==	Qk1X	WDUgTTYwZSB4RHJpdmU=	HYBRID_CAR	AVAILABLE	340.0	
VEHICLE	Vk0tMDAwOA==	Qk1X	WDMgTTUw	SUV	AVAILABLE	260.0	
VEHICLE	Vk0tMDAwOQ==	Qk1X	WDIgTTM1aQ==	SUV	RENTED	210.0	
VEHICLE	Vk0tMDAxMA==	Qk1X	WDEgTTM1aQ==	SUV	RENTED	190.0	
VEHICLE	Vk0tMDAxMQ==	Qk1X	aVggTTcw	ELECTRIC_VEHICLE	RENTED	410.0	92
VEHICLE	Vk0tMDAxMg==	Qk1X	aTcgTTcwIHhEcml2ZQ==	ELECTRIC_VEHICLE	RENTED	480.0	78
VEHICLE	Vk0tMDAxMw==	Qk1X	TTc2MGUgeERyaXZl	HYBRID_CAR	AVAILABLE	455.0	
VEHICLE	Vk0tMDAxNA==	Qk1X	TTUgU2VkYW4=	CAR	RENTED	430.0	
VEHICLE	Vk0tMDAxNQ==	Qk1X	TTUgVG91cmluZw==	CAR	MAINTENANCE	440.0	
VEHICLE	Vk0tMDAxNg==	Qk1X	aTUgTTYwIFNlZGFu	ELECTRIC_VEHICLE	AVAILABLE	315.0	88
VEHICLE	Vk0tMDAxNw==	Qk1X	aTUgTTYwIFRvdXJpbmc=	ELECTRIC_VEHICLE	MAINTENANCE	325.0	81
VEHICLE	Vk0tMDAxOA==	Qk1X	TTQgQ291cGU=	CAR	AVAILABLE	360.0	
VEHICLE	Vk0tMDAxOQ==	Qk1X	TTQgQ29tcGV0aXRpb24gQ291cGU=	CAR	RENTED	395.0	
VEHICLE	Vk0tMDAyMA==	Qk1X	TTQgQ29tcGV0aXRpb24gQ29udmVydGlibGU=	CAR	RENTED	410.0	
VEHICLE	Vk0tMDAyMQ==	Qk1X	TTQ0MGkgR3JhbiBDb3VwZQ==	CAR	RENTED	270.0	
VEHICLE	Vk0tMDAyMg==	Qk1X	aTQgTTYwIHhEcml2ZQ==	ELECTRIC_VEHICLE	MAINTENANCE	295.0	73
VEHICLE	Vk0tMDAyMw==	Qk1X	TTMgU2VkYW4=	CAR	RENTED	350.0	
VEHICLE	Vk0tMDAyNA==	Qk1X	TTMgQ29tcGV0aXRpb24gU2VkYW4=	CAR	RENTED	385.0	
VEHICLE	Vk0tMDAyNQ==	Qk1X	TTMgQ29tcGV0aXRpb24gVG91cmluZw==	CAR	AVAILABLE	400.0	
VEHICLE	Vk0tMDAyNg==	Qk1X	TTM0MGkgU2VkYW4=	CAR	AVAILABLE	245.0	
VEHICLE	Vk0tMDAyNw==	Qk1X	TTI=	CAR	RENTED	300.0	
VEHICLE	Vk0tMDAyOA==	Qk1X	TTIgQ1M=	CAR	RENTED	340.0	
VEHICLE	Vk0tMDAyOQ==	Qk1X	WjQgTTQwaQ==	CAR	MAINTENANCE	285.0	78
VEHICLE	Vk0tMDAzMA==	Qk1X	WjQgRmluYWwgRWRpdGlvbg==	CAR	MAINTENANCE	310.0	
